School,G,W,L,W-L%,SRS,SOS,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,year,NCAABirth,END,Seed
Fresno State ,34,24,10,0.706,9.17,3.58,2799,2609,,109.9,0.314,0.366,0.562,48.8,64.1,11.1,10.3,0.536,17,34.2,0.221,2000,NCAA,Fresno State ,9
Gonzaga ,35,26,9,0.743,16.38,4.64,2719,2308,,112.1,0.395,0.355,0.568,51.7,60.8,8.3,11.2,0.544,16.4,34.2,0.263,2000,NCAA,Gonzaga ,10
Hofstra ,31,24,7,0.774,5.23,-6.03,2307,1958,,108.4,0.344,0.346,0.547,53.2,52.6,12.7,11.2,0.518,16.4,36.2,0.236,2000,NCAA,Hofstra ,14
Illinois ,32,22,10,0.688,19.73,9.6,2424,2100,,103.8,0.396,0.339,0.53,50,59.8,12.7,10,0.493,16.7,33.1,0.273,2000,NCAA,Illinois ,4
Indiana State ,32,22,10,0.688,6.54,3.22,2136,2030,,98.7,0.378,0.26,0.521,49,53.7,13.5,8.5,0.481,17,28.5,0.266,2000,NCAA,Indiana State ,12
Indiana ,29,20,9,0.69,19.43,10.22,2253,1985,,105.5,0.419,0.198,0.554,51.3,57.5,10.2,11.3,0.515,17.2,33,0.297,2000,NCAA,Indiana ,6
Iona ,31,20,11,0.645,-1.22,-4.13,2443,2353,,102.1,0.444,0.227,0.537,51.9,62.5,9.7,14.6,0.49,19.7,38.3,0.322,2000,NCAA,Iona ,14
Iowa State ,37,32,5,0.865,19.08,7.14,2898,2409,,110.1,0.42,0.242,0.564,54.5,54.4,10.5,7.8,0.529,16.8,36,0.295,2000,NCAA,Iowa State ,2
Jackson State ,33,17,16,0.515,-12.19,-10.38,2205,2251,,91.2,0.486,0.193,0.478,51.8,54,10.4,12.5,0.433,21.4,40.6,0.31,2000,NCAA,Jackson State ,16
Kansas ,34,24,10,0.706,17.94,9.79,2676,2382,76.3,102.7,0.291,0.204,0.518,55.1,60.3,12,13.2,0.495,18.6,42,0.189,2000,NCAA,Kansas ,8
Kentucky ,33,23,10,0.697,18.52,12.71,2280,2074,,101.6,0.392,0.343,0.513,53.4,53.8,9,14.8,0.474,18.4,40.3,0.27,2000,NCAA,Kentucky ,5
Lafayette ,31,24,7,0.774,0.42,-8.07,2280,1986,,104.1,0.394,0.375,0.563,51,61.1,14.3,9.3,0.527,19.8,33.4,0.283,2000,NCAA,Lafayette ,15
Lamar ,31,15,16,0.484,-6.16,-3.84,1949,2021,,96.5,0.329,0.373,0.489,51.2,60.7,11.1,7.5,0.452,19.6,34.9,0.226,2000,NCAA,Lamar ,16
Louisiana ,34,25,9,0.735,2.37,-1.58,2441,2301,,,0.38,0.294,0.505,49,56.4,,12.2,0.479,,50.6,0.234,2000,NCAA,Louisiana ,13
Louisiana State ,34,28,6,0.824,18.9,5.78,2578,2132,,106,0.456,0.297,0.563,55.5,55,12.9,13.8,0.539,20.6,40,0.294,2000,NCAA,Louisiana State ,4
Louisville ,31,19,12,0.613,14.93,8.76,2269,2052,,103.2,0.317,0.276,0.541,48.8,61,13,11,0.511,18.9,36.1,0.223,2000,NCAA,Louisville ,7
Maryland ,35,25,10,0.714,17.93,9.44,2683,2386,,103.6,0.33,0.257,0.539,51.1,66.6,13.7,16.3,0.511,18.6,37.2,0.226,2000,NCAA,Maryland ,3
Miami (FL) ,34,23,11,0.676,11.83,5.39,2346,2127,,100.6,0.35,0.223,0.51,51.5,58.7,12.3,10.1,0.464,18,39.8,0.262,2000,NCAA,Miami (FL) ,6
Michigan State ,39,32,7,0.821,25.04,9.91,2889,2299,,112.1,0.38,0.311,0.57,58.9,59.1,9.9,7.7,0.533,18.3,42.1,0.279,2000,NCAA,Michigan State ,1
Missouri ,31,18,13,0.581,12.55,8.22,2302,2168,,103.6,0.363,0.441,0.539,46.5,55.3,12.4,4.8,0.503,16.2,28.9,0.257,2000,NCAA,Missouri ,9
Nevada-Las Vegas ,31,23,8,0.742,9.74,2.52,2548,2324,,104.1,0.376,0.258,0.529,53.6,67.1,10.7,10.5,0.496,18.6,38.8,0.256,2000,NCAA,Nevada-Las Vegas ,10
North Carolina-Wilmington ,31,18,13,0.581,2.41,-0.24,1863,1781,,88.8,0.349,0.294,0.497,50,56.2,10.5,6.4,0.469,23.2,30.4,0.219,2000,NCAA,North Carolina-Wilmington ,15
North Carolina ,36,22,14,0.611,17,11.8,2715,2528,,107.9,0.358,0.238,0.562,52.8,60.1,8.3,11.2,0.532,18.1,37.3,0.251,2000,NCAA,North Carolina ,8
Northern Arizona ,31,20,11,0.645,4.34,1.37,2280,2134,,106.6,0.383,0.414,0.593,52.2,63.6,5.6,7.6,0.558,21.1,31.6,0.287,2000,NCAA,Northern Arizona ,15
Ohio State ,30,23,7,0.767,17.55,6.55,2182,1852,,106.5,0.36,0.261,0.533,52.1,48.6,9.5,17.1,0.497,15.6,36.8,0.253,2000,NCAA,Ohio State ,3
Oklahoma State ,34,27,7,0.794,20.01,6.59,2620,2117,,108.8,0.395,0.287,0.567,52.6,68.8,10.8,9.5,0.535,17.3,34.6,0.276,2000,NCAA,Oklahoma State ,3
Oklahoma ,34,27,7,0.794,19.25,6.63,2546,2117,,110.6,0.315,0.343,0.552,52.7,57.3,10.5,7.3,0.523,15.9,36.5,0.224,2000,NCAA,Oklahoma ,3
Oregon ,30,22,8,0.733,14.74,8.53,2269,2047,,104.9,0.375,0.321,0.559,51.3,60.8,9.5,7.1,0.519,18.8,34.8,0.279,2000,NCAA,Oregon ,7
Pennsylvania ,29,21,8,0.724,4,-2.89,1942,1742,,103.4,0.336,0.344,0.535,52.7,61.7,8.4,10.9,0.512,16.9,32.2,0.217,2000,NCAA,Pennsylvania ,13
Pepperdine ,34,25,9,0.735,13.11,3.35,2481,2149,,101,0.276,0.329,0.524,50.9,53.2,13,7.5,0.5,17.5,32.8,0.184,2000,NCAA,Pepperdine ,11
Purdue ,34,24,10,0.706,16.87,9.56,2505,2246,,106.2,0.459,0.308,0.537,51.9,56.8,11.1,7.9,0.497,17.8,38.7,0.314,2000,NCAA,Purdue ,6
Saint Louis ,33,19,14,0.576,9,8.39,2124,2104,,94.3,0.447,0.255,0.517,50.8,55,11.3,9.2,0.473,22.2,35.7,0.307,2000,NCAA,Saint Louis ,9
Samford ,32,21,11,0.656,3.2,-5.8,2323,1998,,112.1,0.312,0.488,0.613,50.6,65.8,11.1,9.3,0.595,18.8,29.3,0.218,2000,NCAA,Samford ,13
Seton Hall ,32,22,10,0.688,10.64,5.11,2295,2118,,104.2,0.341,0.367,0.53,49,56.8,10.2,13.8,0.5,18,36.6,0.231,2000,NCAA,Seton Hall ,10
South Carolina State ,34,20,14,0.588,-10.41,-9.38,2386,2421,,101.1,0.361,0.301,0.481,52.5,44.6,10,10,0.442,16.4,42,0.243,2000,NCAA,South Carolina State ,16
Southeast Missouri State ,31,24,7,0.774,4.42,-2.48,2154,1911,,102,0.394,0.332,0.54,50.8,51.2,8.9,12.9,0.503,19.3,33.3,0.277,2000,NCAA,Southeast Missouri State ,13
St. Bonaventure ,31,21,10,0.677,9.45,5.29,2136,2007,,102.7,0.375,0.298,0.528,52.1,50.3,12.4,7.8,0.499,19.4,39.9,0.248,2000,NCAA,St. Bonaventure ,12
St. John's (NY) ,33,25,8,0.758,14.26,6.96,2043,2192,,97.5,0.36,0.366,0.522,49.9,63.4,16.8,7.6,0.483,16.9,36.5,0.257,2000,NCAA,St. John's (NY) ,2
Stanford ,31,27,4,0.871,25.65,7.12,2447,1850,,112.1,0.454,0.35,0.575,56.5,65.8,6.5,12.4,0.538,17.5,38.5,0.322,2000,NCAA,Stanford ,1
Syracuse ,32,26,6,0.813,17.67,6.2,2400,2033,,109.7,0.362,0.258,0.548,52.6,64.4,13.1,13.1,0.514,17,40.2,0.255,2000,NCAA,Syracuse ,4
Temple ,33,27,6,0.818,20.64,6.94,2260,1808,,111.4,0.324,0.411,0.512,53.1,59.6,15.4,15.1,0.485,12.8,40,0.212,2000,NCAA,Temple ,2
Tennessee ,33,26,7,0.788,18.94,8.12,2629,2239,72.9,108,0.395,0.365,0.548,51.7,52.9,11.9,13.6,0.516,17.8,38.9,0.27,2000,NCAA,Tennessee ,4
Texas ,33,24,9,0.727,20.43,9.61,2460,2103,,105.1,0.433,0.261,0.546,52.8,54.9,10.4,12.1,0.518,18.6,37,0.28,2000,NCAA,Texas ,5
Tulsa ,37,32,5,0.865,19.94,2.42,2974,2326,,109.9,0.389,0.344,0.565,51.2,60.1,16,12.1,0.532,17.8,36.3,0.274,2000,NCAA,Tulsa ,7
UCLA ,33,21,12,0.636,15.29,10.11,2492,2321,,104.4,0.329,0.278,0.543,52.6,57.2,11.8,10.9,0.532,19.3,38.7,0.193,2000,NCAA,UCLA ,6
Utah State ,34,28,6,0.824,8.83,1.89,2397,2080,,106.6,0.376,0.284,0.539,52.4,55.4,10.4,10.6,0.517,16.9,35.8,0.236,2000,NCAA,Utah State ,12
Utah ,32,23,9,0.719,12.23,4.36,2252,1979,,109.6,0.399,0.353,0.583,53.8,63.4,9.6,8.2,0.55,19.3,34.1,0.287,2000,NCAA,Utah ,8
Valparaiso ,32,19,13,0.594,-2.89,-3.71,2128,2006,,100.5,0.347,0.364,0.537,53.9,60.6,11.1,10.6,0.512,21.3,37.4,0.226,2000,NCAA,Valparaiso ,16
Winthrop ,30,21,9,0.7,-1.04,-7.41,2193,1941,,102.8,0.417,0.408,0.532,52.4,55.4,10.1,9.5,0.499,18.7,35.1,0.277,2000,NCAA,Winthrop ,14
Wisconsin ,36,22,14,0.611,16.67,12.5,2157,2007,,98,0.344,0.336,0.517,48.6,62.5,10.7,8.7,0.484,16.4,26.3,0.234,2000,NCAA,Wisconsin ,8
Alabama State ,31,22,9,0.71,-8.86,-13.61,2135,1980,,98.7,0.406,0.295,0.522,49.5,54.2,12,6.9,0.489,20,34,0.267,2001,NCAA,Alabama State ,16
Arizona ,36,28,8,0.778,26.84,12.56,2926,2386,,111.5,0.441,0.255,0.568,54.5,57.6,10.8,10.7,0.522,17.5,40,0.33,2001,NCAA,Arizona ,2
Arkansas ,31,20,11,0.645,16.61,6.16,2476,2152,,106.8,0.321,0.372,0.54,46.3,54,15.7,10.6,0.511,16.4,34.6,0.222,2001,NCAA,Arkansas ,7
Boston College ,32,27,5,0.844,17.99,5.18,2547,2129,,113.6,0.407,0.337,0.552,51.3,52.8,14.5,8.2,0.514,15.5,41.6,0.289,2001,NCAA,Boston College ,3
Brigham Young ,33,24,9,0.727,10.94,3.47,2324,2069,,112.5,0.515,0.299,0.576,51.8,55.6,9.8,9.3,0.516,17.7,33.7,0.402,2001,NCAA,Brigham Young ,12
Butler ,32,24,8,0.75,12.55,3.98,2228,1946,,109.8,0.397,0.376,0.57,47.8,51.4,10.9,7.5,0.536,16.2,31.9,0.284,2001,NCAA,Butler ,10
Cal State Northridge ,32,22,10,0.688,5.94,0.24,2650,2409,,111.3,0.47,0.297,0.588,50.7,66.8,11.2,6.1,0.553,17.8,33.9,0.333,2001,NCAA,Cal State Northridge ,13
University of California ,31,20,11,0.645,14.76,9.08,2304,2128,,105.5,0.431,0.296,0.563,49.3,62.5,10.3,6.1,0.53,17.2,27.9,0.295,2001,NCAA,University of California ,8
Charlotte ,33,22,11,0.667,14.24,7.91,2583,2374,,108.4,0.389,0.424,0.546,50.1,54,9.7,7.3,0.513,15,33,0.266,2001,NCAA,Charlotte ,9
Cincinnati ,35,25,10,0.714,16.19,7.84,2586,2294,,110,0.366,0.289,0.531,49.5,49,8.3,8.9,0.495,13.5,36.9,0.255,2001,NCAA,Cincinnati ,5
Creighton ,32,24,8,0.75,12.4,3,2325,2024,,106.2,0.4,0.389,0.548,50.8,62.2,13.4,10.3,0.512,16.7,32.3,0.281,2001,NCAA,Creighton ,10
Duke ,39,35,4,0.897,32.18,11.98,3538,2750,,117.8,0.396,0.418,0.588,50.7,57.6,13.7,10.5,0.561,15,37,0.275,2001,NCAA,Duke ,1
Eastern Illinois ,31,21,10,0.677,0.99,-2.46,2564,2439,,111,0.337,0.302,0.572,49.6,56.2,8.5,7.9,0.533,16,32.9,0.261,2001,NCAA,Eastern Illinois ,15
Florida ,31,24,7,0.774,21.32,7.51,2509,2081,,111.4,0.431,0.379,0.59,51.7,63.4,12,9.4,0.554,17.5,30.9,0.315,2001,NCAA,Florida ,3
Fresno State ,33,26,7,0.788,15.66,5.14,2689,2342,,109.8,0.391,0.334,0.559,50.7,62.1,13.5,15.3,0.529,18.6,34.6,0.266,2001,NCAA,Fresno State ,9
George Mason ,30,18,12,0.6,5.12,-0.35,2127,1963,,103.3,0.371,0.257,0.53,50.3,52.4,12.2,11.4,0.501,17.6,34.5,0.245,2001,NCAA,George Mason ,14
Georgetown ,33,25,8,0.758,12.07,1.58,2574,2228,,105.3,0.386,0.265,0.514,55.7,59.2,13.3,14.8,0.481,18,45.3,0.255,2001,NCAA,Georgetown ,10
Georgia State ,34,29,5,0.853,5.25,-3.72,2701,2337,,110.8,0.391,0.377,0.551,49.8,48.3,14.4,9.4,0.516,15.1,36.3,0.274,2001,NCAA,Georgia State ,11
Georgia Tech ,30,17,13,0.567,14.51,11.78,2269,2187,,100.2,0.363,0.384,0.531,48.4,62.9,10.5,10.8,0.497,18.2,30.3,0.251,2001,NCAA,Georgia Tech ,8
Georgia ,31,16,15,0.516,12.67,12.71,2257,2258,,104.8,0.347,0.226,0.532,53.2,55.7,9.1,12.2,0.503,18.6,36.5,0.234,2001,NCAA,Georgia ,8
Gonzaga ,33,26,7,0.788,12.57,0.32,2720,2271,,116.3,0.528,0.338,0.606,53.6,58.7,8.2,10.2,0.579,17.4,35,0.36,2001,NCAA,Gonzaga ,12
Hampton ,32,25,7,0.781,-3.67,-10.6,2471,2246,,107.6,0.452,0.311,0.551,51.7,52.8,9.5,13.6,0.515,17.9,38.2,0.309,2001,NCAA,Hampton ,15
Hawaii ,31,17,14,0.548,6.89,7.25,2254,2265,,102.5,0.391,0.298,0.558,49.9,69.9,8.3,5.7,0.52,20.4,33.8,0.284,2001,NCAA,Hawaii ,12
Hofstra ,31,26,5,0.839,5.11,-5.47,2257,1929,,103.5,0.487,0.304,0.553,54.2,52.8,10.9,10.3,0.524,20,36.4,0.315,2001,NCAA,Hofstra ,13
Holy Cross ,30,22,8,0.733,-0.31,-5.84,2034,1868,,101.1,0.654,0.27,0.54,55.6,60.2,9.3,14.3,0.493,21.4,39.9,0.43,2001,NCAA,Holy Cross ,15
Illinois ,35,27,8,0.771,23.32,11.38,2725,2307,,108.4,0.43,0.331,0.553,54.8,59.2,10.7,11.6,0.514,17.5,38.4,0.303,2001,NCAA,Illinois ,1
Indiana State ,34,22,12,0.647,6.95,2.5,2479,2305,,,0.412,0.317,0.554,47.7,60.5,,7.1,0.517,15.2,29.2,0.291,2001,NCAA,Indiana State ,13
Indiana ,34,21,13,0.618,17.58,11.05,2408,2186,,100.8,0.424,0.264,0.529,51.4,59.8,9.7,12.8,0.5,17.9,31.5,0.27,2001,NCAA,Indiana ,4
Iona ,33,22,11,0.667,0.25,-4.09,2549,2375,,104.2,0.434,0.219,0.557,51.4,52.7,10.6,13,0.523,19.6,33.5,0.299,2001,NCAA,Iona ,14
Iowa State ,31,25,6,0.806,15.9,4.87,2451,2115,,109.6,0.493,0.251,0.572,56.3,52.1,8.5,8.1,0.527,17.9,36.2,0.359,2001,NCAA,Iowa State ,2
Iowa ,35,23,12,0.657,14.24,10.7,2593,2469,,106.1,0.564,0.302,0.54,54.7,58.2,7.8,6.6,0.485,17.8,38.6,0.397,2001,NCAA,Iowa ,7
Kansas ,33,26,7,0.788,20.23,9.03,2707,2286,,110.2,0.395,0.233,0.571,54.9,64,8.8,12.4,0.548,18.3,38.7,0.261,2001,NCAA,Kansas ,4
Kent State ,34,24,10,0.706,8.69,1.44,2390,2117,,108.3,0.385,0.269,0.527,48.4,52.1,10.6,8.3,0.476,13.2,34,0.294,2001,NCAA,Kent State ,13
Kentucky ,34,24,10,0.706,20.27,11.06,2713,2400,,110.2,0.366,0.345,0.563,51.9,54.6,9.3,10.8,0.541,17.6,39.2,0.24,2001,NCAA,Kentucky ,2
Maryland ,36,25,11,0.694,23.82,10.99,3067,2605,,113.6,0.387,0.233,0.56,53.2,61.8,11.9,14.3,0.529,16,40.7,0.269,2001,NCAA,Maryland ,3
Michigan State ,33,28,5,0.848,25.12,9.54,2553,2039,,115.3,0.351,0.231,0.559,61.1,60.5,9.5,11.1,0.526,16.5,47.1,0.252,2001,NCAA,Michigan State ,1
Mississippi ,35,27,8,0.771,15.05,9.2,2496,2262,,102.3,0.423,0.335,0.531,49.9,57.8,11.7,8.4,0.499,17.5,33.7,0.277,2001,NCAA,Mississippi ,3
Missouri ,33,20,13,0.606,10.76,9.19,2493,2402,,103.9,0.368,0.364,0.527,49.5,49.4,10.8,8.9,0.49,17.4,36.2,0.258,2001,NCAA,Missouri ,9
Monmouth ,31,21,10,0.677,-3.82,-8.85,2180,2024,,100.8,0.407,0.343,0.549,48.7,58.1,12.9,10.5,0.515,19.2,29,0.281,2001,NCAA,Monmouth ,16
North Carolina-Greensboro ,31,19,12,0.613,-5.02,-5.85,2282,2230,,103.2,0.412,0.276,0.548,47.8,53.6,12.3,9.4,0.497,18.6,32.4,0.317,2001,NCAA,North Carolina-Greensboro ,16
North Carolina ,33,26,7,0.788,19.95,11.77,2611,2341,,106.5,0.403,0.263,0.556,52.6,61,10,12.7,0.527,18.1,35.2,0.27,2001,NCAA,North Carolina ,2
Northwestern State ,32,19,13,0.594,-11.1,-7.82,2292,2397,,95.1,0.473,0.297,0.504,48,51,12.8,10,0.461,19.1,32.5,0.313,2001,NCAA,Northwestern State ,16
Notre Dame ,30,20,10,0.667,14.35,5.68,2338,2078,,108,0.405,0.323,0.556,51.1,64.7,9.2,12.9,0.524,17.1,34.7,0.279,2001,NCAA,Notre Dame ,6
Ohio State ,31,20,11,0.645,15.68,8.17,2206,1973,,105.8,0.424,0.269,0.558,53.4,61,7.7,13.8,0.522,19.2,37.5,0.296,2001,NCAA,Ohio State ,5
Oklahoma State ,30,20,10,0.667,10.81,4.7,2129,1936,,99.6,0.446,0.239,0.532,52.3,52.9,11.3,9.8,0.503,20.2,34.8,0.282,2001,NCAA,Oklahoma State ,11
Oklahoma ,33,26,7,0.788,15.54,5.48,2454,2122,,109,0.347,0.331,0.547,51.9,51.7,12.5,7.9,0.509,15.8,35.9,0.257,2001,NCAA,Oklahoma ,4
Penn State ,33,21,12,0.636,12.42,10.54,2535,2473,,106.4,0.391,0.386,0.545,44.7,57.6,11.7,8,0.496,14.9,28.4,0.299,2001,NCAA,Penn State ,7
Princeton ,27,16,11,0.593,-2.53,-1.88,1562,1569,,100.8,0.302,0.515,0.568,46.2,70.9,11.6,7.8,0.539,19.8,24.3,0.219,2001,NCAA,Princeton ,15
Providence ,31,21,10,0.677,13.74,5.44,2359,2049,71.6,106.2,0.383,0.344,0.552,50,62.8,12.9,13.6,0.514,17.9,36,0.275,2001,NCAA,Providence ,10
Saint Joseph's ,33,26,7,0.788,12.72,4.45,2625,2352,,110.2,0.43,0.381,0.58,52.2,65.2,8.6,9.3,0.549,17.5,33.5,0.298,2001,NCAA,Saint Joseph's ,9
Southern California ,34,24,10,0.706,16.53,10.83,2620,2420,,106.7,0.447,0.305,0.553,51.6,57.2,10.5,11,0.513,17.8,35.7,0.315,2001,NCAA,Southern California ,6
Southern Utah ,31,25,6,0.806,3.01,-3.42,2243,2015,,108.6,0.42,0.308,0.584,50.9,59,15.5,9.6,0.55,19.7,36.5,0.3,2001,NCAA,Southern Utah ,14
Stanford ,34,31,3,0.912,25.76,9.86,2829,2226,,119.4,0.484,0.315,0.617,55.6,59.6,7.9,7.7,0.579,16,35.8,0.36,2001,NCAA,Stanford ,1
Syracuse ,34,25,9,0.735,11.14,5.82,2475,2294,,104.3,0.358,0.272,0.521,50.1,61.6,13.7,16.1,0.482,15.7,35.2,0.256,2001,NCAA,Syracuse ,5
Temple ,37,24,13,0.649,16.2,9.77,2604,2366,,113.3,0.31,0.376,0.523,50.1,44.9,11.7,12.9,0.492,11,36.9,0.217,2001,NCAA,Temple ,11
Tennessee ,33,22,11,0.667,15.49,10.28,2668,2496,,106.9,0.44,0.352,0.557,50.1,58.1,9.3,13.3,0.524,18.1,34.3,0.299,2001,NCAA,Tennessee ,8
Texas ,34,25,9,0.735,14.25,8.89,2396,2211,,100.1,0.42,0.315,0.502,50.4,50.5,11.2,14,0.466,17.4,36.2,0.273,2001,NCAA,Texas ,6
UCLA ,32,23,9,0.719,17.13,12.06,2544,2382,,105.5,0.426,0.275,0.543,51.7,51.4,10.3,10.5,0.512,18,37.2,0.282,2001,NCAA,UCLA ,4
Utah State ,34,28,6,0.824,9.97,-1.5,2404,1959,,109,0.423,0.292,0.57,52.9,60,10,11.1,0.542,18.7,35.5,0.285,2001,NCAA,Utah State ,12
Virginia ,29,20,9,0.69,18.93,8.72,2464,2168,,112.7,0.403,0.295,0.552,53.9,49.3,10.1,8.4,0.51,15.2,39.5,0.297,2001,NCAA,Virginia ,5
Wake Forest ,30,19,11,0.633,20.53,10.5,2296,1995,,107.8,0.336,0.272,0.546,50.7,55.5,10.3,11.6,0.51,15.1,32.2,0.244,2001,NCAA,Wake Forest ,7
Western Kentucky ,31,24,7,0.774,8.67,-1.65,2303,1889,,108.2,0.377,0.338,0.546,56.8,55.7,11.6,13.2,0.513,17.7,40.8,0.26,2001,NCAA,Western Kentucky ,14
Winthrop ,31,18,13,0.581,-3.73,-7.8,2037,1917,,100.2,0.394,0.366,0.512,52.2,51.3,11,7.5,0.472,18.1,35.8,0.271,2001,NCAA,Winthrop ,16
Wisconsin ,29,18,11,0.621,14.9,12.08,1723,1641,,99.4,0.421,0.354,0.532,50.3,62.3,9.9,7.7,0.491,17.2,27.1,0.296,2001,NCAA,Wisconsin ,6
Xavier ,29,21,8,0.724,12.14,4.59,2130,1911,,104.4,0.465,0.355,0.528,52.1,56.4,10.2,10.4,0.481,17.1,37.2,0.327,2001,NCAA,Xavier ,11
Alabama ,35,27,8,0.771,16.93,7.67,2658,2334,,,0.408,0.339,0.538,52.8,50.5,,5.6,0.492,16.5,,0.3,2002,NCAA,Alabama ,2
Alcorn State ,31,21,10,0.677,-11.28,-14.18,2473,2374,,,0.402,0.237,0.537,53.3,55.1,,6.4,0.51,18.9,,0.258,2002,NCAA,Alcorn State ,16
Arizona ,34,24,10,0.706,16.93,12.49,2793,2642,,,0.446,0.336,0.565,50.4,56.4,,4.6,0.522,16.2,,0.326,2002,NCAA,Arizona ,3
Boston College ,32,20,12,0.625,8.95,5.91,2354,2257,,,0.406,0.329,0.516,49.6,53.8,,5.8,0.474,16.4,,0.282,2002,NCAA,Boston College ,11
Boston University ,32,22,10,0.688,-4.68,-7.81,2147,2047,,,0.368,0.321,0.517,51.9,53.3,,4.8,0.481,16.7,,0.254,2002,NCAA,Boston University ,16
UC-Santa Barbara ,31,20,11,0.645,5.55,-0.05,2066,1889,,,0.411,0.323,0.56,52.6,65.5,,5.4,0.514,18.6,,0.31,2002,NCAA,UC-Santa Barbara ,14
University of California ,32,23,9,0.719,13.08,7.45,2310,2130,,,0.362,0.322,0.533,48.8,58.3,,7.6,0.502,16.3,,0.245,2002,NCAA,University of California ,6
Central Connecticut State ,32,27,5,0.844,-1.1,-9.29,2280,2018,,,0.392,0.223,0.541,54.9,52.3,,5.8,0.497,18.5,,0.289,2002,NCAA,Central Connecticut State ,14
Charlotte ,30,18,12,0.6,13.61,8.68,2205,2057,,,0.356,0.391,0.545,52.2,54.7,,4.1,0.511,16.8,,0.252,2002,NCAA,Charlotte ,9
Cincinnati ,35,31,4,0.886,24.38,6.58,2738,2115,,,0.405,0.279,0.554,54,49.6,,7.6,0.517,14.4,,0.287,2002,NCAA,Cincinnati ,1
Connecticut ,34,27,7,0.794,16.02,7.43,2646,2354,,,0.391,0.194,0.555,53,50.8,,10.8,0.521,18.6,,0.272,2002,NCAA,Connecticut ,2
Creighton ,32,23,9,0.719,8.38,1.38,2421,2197,,,0.369,0.338,0.563,52.8,57.5,,7.2,0.527,17.6,,0.27,2002,NCAA,Creighton ,12
Davidson ,31,21,10,0.677,0.6,0.71,2192,2046,,,0.323,0.397,0.534,51.2,62.4,,6.4,0.506,19.2,,0.22,2002,NCAA,Davidson ,13
Duke ,35,31,4,0.886,28.91,9.16,3112,2421,,,0.41,0.376,0.59,50.7,57.2,,5.3,0.563,16,,0.283,2002,NCAA,Duke ,1
Florida Atlantic ,31,19,12,0.613,-3.95,-5.33,2303,2235,,,0.304,0.262,0.5,50.9,56.2,,6,0.471,17.1,,0.202,2002,NCAA,Florida Atlantic ,15
